pipeline,seabed_temperature_c,capacity_change_pct,direct_T_contribution_pct_approx,Z_contribution_pct_approx,friction_contribution_pct_approx,mu_change_pct,compressor_energy_change_pct
Pipe_A_to_Shore,0,1.8733300984217,1.68614907828494,0.00555611823113145,0.135024439104403,-2.38751234442111,-3.47586495692852
Pipe_A_to_Shore,5,0.923992278259056,0.843074539142447,0.0024321507685332,0.0670092236245146,-1.188366576378,-1.73884973616877
Pipe_A_to_Shore,10,0,-0,-0,-0,0,0
Pipe_A_to_Shore,15,-0.899764446139206,-0.843074539142485,-0.00180138212420022,-0.0660332947964637,1.17783724444576,1.74068588702947
Pipe_A_to_Shore,20,-1.77635023378677,-1.68614907828493,-0.00302745539153548,-0.131119422593051,2.34538634478645,3.48320952891208
Pipe_B_to_Shore,0,1.87647306359608,1.69026830109318,0.00559975410946434,0.133806039729201,-2.39359060706951,-3.48179470825989
Pipe_B_to_Shore,5,0.925510572440724,0.845134150546589,0.00245178000003454,0.0663998108937747,-1.19137888091615,-1.74179599112808
Pipe_B_to_Shore,10,0,-0,-0,-0,0,0
Pipe_B_to_Shore,15,-0.901183916498793,-0.845134150546589,-0.00181714821264611,-0.0654236792966612,1.18079772350517,1.74359484436608
Pipe_B_to_Shore,20,-1.7790972660131,-1.69026830109319,-0.00305557903285125,-0.129900193978305,2.35125722236063,3.48899009085706
